Current,,,,,,,,,
,,,,,,,,,
基金名稱,年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
00888 永豐台灣ESG,2025/11,MTSE,國內上市,-,63.98,"3,728,300",-,-2.1495,
00888 永豐台灣ESG,2025/11,TT99,基金總規模,-,-,"5,827,290",-,-,
00891 中信關鍵半導體,2025/11,-,-,-,-,-,-,-,-
00892 富邦台灣半導體,2025/11,2330,台積電,890,23.32,"1,281,487",0,-3.9998,TW0002330008
00892 富邦台灣半導體,2025/11,3443,創意,207,8.51,"467,644",0.15,47.7125,TW0003443008
00892 富邦台灣半導體,2025/11,3711,日月光投控,"1,576",6.58,"361,586",0.04,-7.2725,TW0003711008
00892 富邦台灣半導體,2025/11,5274,信驊,56,7.43,"408,295",0.15,33.7292,TW0005274005
00892 富邦台灣半導體,2025/11,6223,旺矽,168,6.94,"381,369",0.17,8.0953,TW0006223001
00892 富邦台灣半導體,2025/11,M2300,電子工業,-,52.78,"2,900,381",-,-3.1657,
00892 富邦台灣半導體,2025/11,MOTC,國內上櫃,-,14.37,"789,664",-,-0.768,
00892 富邦台灣半導體,2025/11,MTSE,國內上市,-,38.41,"2,110,717",-,-2.1495,
00892 富邦台灣半導體,2025/11,TT99,基金總規模,-,-,"5,495,228",-,-,
00893 國泰智能電動車,2025/11,-,-,-,-,-,-,-,-
00894 中信小資高價30,2025/11,-,-,-,-,-,-,-,-
00895 富邦未來車,2025/11,-,-,-,-,-,-,-,-
00896 中信綠能及電動車,2025/11,-,-,-,-,-,-,-,-
00897 富邦基因免疫生技,2025/11,-,-,-,-,-,-,-,-
00898 國泰基因免疫革命,2025/11,-,-,-,-,-,-,-,-
00899 FT潔淨能源,2025/11,-,-,-,-,-,-,-,-
00900 富邦特選高股息30,2025/11,2454,聯發科,"1,408",5.2,"1,964,400",0.09,6.4885,TW0002454006
00900 富邦特選高股息30,2025/11,2880,華南金,"65,292",5.09,"1,922,846",0.47,0.8563,TW0002880002
00900 富邦特選高股息30,2025/11,2887,台新新光金,"111,761",5.34,"2,017,288",0.45,-3.476,TW0002887007
00900 富邦特選高股息30,2025/11,2890,永豐金,"69,106",4.93,"1,862,403",0.48,5.0682,TW0002890001
00900 富邦特選高股息30,2025/11,8299,群聯,"2,273",6.74,"2,546,165",1.07,5.1642,TW0008299009
00900 富邦特選高股息30,2025/11,M2300,電子工業,-,11.94,"4,510,565",-,-3.1657,
00900 富邦特選高股息30,2025/11,M2800,金融業(合計),-,15.36,"5,802,536",-,1.1873,
00900 富邦特選高股息30,2025/11,MOTC,國內上櫃,-,6.74,"2,546,165",-,-0.768,
00900 富邦特選高股息30,2025/11,MTSE,國內上市,-,20.56,"7,766,937",-,-2.1495,
00900 富邦特選高股息30,2025/11,TT99,基金總規模,-,-,"37,776,930",-,-,
00901 永豐智能車供應鏈,2025/11,2308,台達電,209,9.07,"195,051",0.01,-6.3316,TW0002308004
00901 永豐智能車供應鏈,2025/11,2317,鴻海,979,10.27,"220,857",0.01,-12.4272,TW0002317005
00901 永豐智能車供應鏈,2025/11,2330,台積電,474,31.73,"682,355",0,-3.9998,TW0002330008
00901 永豐智能車供應鏈,2025/11,2382,廣達,229,3,"64,515",0.01,-6.1564,TW0002382009
00901 永豐智能車供應鏈,2025/11,2454,聯發科,121,7.87,"169,245",0.01,6.4885,TW0002454006
00901 永豐智能車供應鏈,2025/11,M2300,電子工業,-,61.94,"1,332,022",-,-3.1657,
00901 永豐智能車供應鏈,2025/11,MTSE,國內上市,-,61.94,"1,332,022",-,-2.1495,
00901 永豐智能車供應鏈,2025/11,TT99,基金總規模,-,-,"2,150,503",-,-,
00902 中信電池及儲能,2025/11,-,-,-,-,-,-,-,-
00903 富邦元宇宙,2025/11,-,-,-,-,-,-,-,-
00904 新光臺灣半導體30,2025/11,2303,聯電,"2,532",3.79,"115,974",0.02,-1.293,TW0002303005
00904 新光臺灣半導體30,2025/11,2330,台積電,623,29.32,"897,189",0,-3.9998,TW0002330008
00904 新光臺灣半導體30,2025/11,2449,京元電子,424,3.17,"97,002",0.03,5.5299,TW0002449006
00904 新光臺灣半導體30,2025/11,2454,聯發科,326,14.86,"454,715",0.02,6.4885,TW0002454006
00904 新光臺灣半導體30,2025/11,3711,日月光投控,709,5.32,"162,792",0.02,-7.2725,TW0003711008
00904 新光臺灣半導體30,2025/11,M2300,電子工業,-,56.46,"1,727,671",-,-3.1657,
00904 新光臺灣半導體30,2025/11,MTSE,國內上市,-,56.46,"1,727,671",-,-2.1495,
00904 新光臺灣半導體30,2025/11,TT99,基金總規模,-,-,"3,059,991",-,-,
00905 FT臺灣Smart,2025/11,2308,台達電,328,4.76,"305,733",0.01,-6.3316,TW0002308004
00905 FT臺灣Smart,2025/11,2317,鴻海,"1,558",5.47,"351,336",0.01,-12.4272,TW0002317005
00905 FT臺灣Smart,2025/11,2330,台積電,"1,378",30.89,"1,984,055",0.01,-3.9998,TW0002330008
00905 FT臺灣Smart,2025/11,2454,聯發科,207,4.5,"289,034",0.01,6.4885,TW0002454006
00905 FT臺灣Smart,2025/11,2881,富邦金,"2,365",3.41,"219,023",0.02,1.5352,TW0002881000
00905 FT臺灣Smart,2025/11,M2300,電子工業,-,45.62,"2,930,158",-,-3.1657,
