Current,,,,,
,,,,,
基金名稱,年月,投資股數,投資比率％,持股數/流通在外股數%,個股月報酬率％
2391 合勤,2025/09,-,-,-,-
2392 正崴,2025/09,1,0,0,-0.94
2393 億光,2025/09,"85,974",0.13,19.39,-6.44
2394 普立爾,2025/09,-,-,-,-
2395 研華,2025/09,"13,387",0.1,1.55,-7.27
2396 精碟,2025/09,-,-,-,-
2397 友通,2025/09,4,0,0,-12.96
2398 博達,2025/09,-,-,-,-
2399 映泰,2025/09,-,-,-,-
2401 凌陽,2025/09,46,0,0.01,-7.37
2402 毅嘉,2025/09,"6,504",0.01,2.11,-15.17
2403 友尚,2025/09,-,-,-,-
2404 漢唐,2025/09,"36,341",0.79,19.07,-27.15
2405 輔信,2025/09,10,0,0,-0.78
2406 國碩,2025/09,-,-,-,-
2407 欣煜,2025/09,-,-,-,-
2408 南亞科,2025/09,"37,076",0.07,1.2,55.32
2409 友達,2025/09,"20,853",0.01,0.28,6.23
2410 鼎大,2025/09,-,-,-,-
2411 飛瑞,2025/09,-,-,-,-
2412 中華電,2025/09,"190,383",0.61,2.45,0.76
2413 環科,2025/09,-,-,-,-
2414 精技,2025/09,-,-,-,-
2415 錩新,2025/09,-,-,-,-
2416 世平,2025/09,-,-,-,-
2417 圓剛,2025/09,-,-,-,-
2418 雅新,2025/09,-,-,-,-
2419 仲琦,2025/09,-,-,-,-
2420 新巨,2025/09,480,0,0.31,-7.65
2421 建準,2025/09,"1,219",0,0.45,-7.33
2422 國聯,2025/09,-,-,-,-
2423 固緯,2025/09,-,-,-,-
2424 隴華,2025/09,-,-,-,-
2425 承啟,2025/09,-,-,-,-
2426 鼎元,2025/09,7,0,0,-5.76
2427 三商電,2025/09,320,0,0.16,-2.7
2428 興勤,2025/09,262,0,0.2,12.87
2429 銘旺科,2025/09,-,-,-,-
2430 燦坤,2025/09,-,-,-,-
2431 聯昌,2025/09,-,-,-,-
2432 倚天酷碁-創,2025/09,-,-,-,-
2433 互盛電,2025/09,-,-,-,-
2434 統懋,2025/09,-,-,-,-
2435 台路,2025/09,-,-,-,-
2436 偉詮電,2025/09,"1,840",0,0.91,5.75
2437 旺詮,2025/09,-,-,-,-
2438 翔耀,2025/09,-,-,-,-
2439 美律,2025/09,"39,095",0.1,15.4,-5.58
2440 太空梭,2025/09,-,-,-,-
2441 超豐,2025/09,"21,854",0.03,3.84,5.34
