Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
公司代碼,年月日,M0000 特殊 %,M1100 水泥工業 %,M1200 食品工業 %,M1300 塑膠工業 %,M1400 紡織纖維 %,M1500 電機機械 %,M1600 電器電纜 %,M1700 化學生技醫療 %,M1721 化學工業 %,M1722 生技醫療業 %,M1800 玻璃陶瓷 %,M1900 造紙工業 %,M2000 鋼鐵工業 %,M2100 橡膠工業 %,M2200 汽車工業 %,M2300 電子工業 %,M2324 半導體業 %,M2325 電腦及週邊設備業 %,M2326 光電業 %,M2327 通訊網路業 %
00983A 主動中信ARK創新,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00983D 主動富邦複合收益,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00984A 主動安聯台灣高息,2025/11/28,0,0.31,0.25,0.97,0.64,0.51,0,1.97,0.65,1.32,0,0,0.18,0.42,0,50.14,13.97,12.47,1.59,5.21
00985A 主動野村台灣50,2025/11/28,0,0,0.94,0,2,0.75,0.1,0,0,0,0,0,0,0,0,79.69,37.65,7.25,0,9.48
00986A 主動台新龍頭,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,4.13,0,0,0
00986B FT金融債10+,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00988A 主動統一全創,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,4.03,2.72,0,0
00989A 摩根美領先科技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI25 柏瑞中印雙霸,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CH07 華頓典範科技,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CS11 景順平衡,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DD16 德盛安聯多元計量,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DS20 中信東方精選基金,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
